baryon_number_density,baryon_density,minimum_pressurec2,maximum_pressurec2,pressurec2,minimum_energy_densityc2,maximum_energy_densityc2,energy_densityc2,cs2c2,phi,minimum_cs2c2,minimum_phi,maximum_cs2c2,maximum_phi
9.766666666666666692e+37,1.642578851833333750e+14,1.016009672855473389e+12,1.231767105254785400e+12,1.123888389055129395e+12,1.655933421067908750e+14,1.656915227956790625e+14,1.656424324512349688e+14,1.710734520093758204e-02,4.050991997360095631e+00,1.457378387773601569e-02,4.213849964469648768e+00,1.963633102396777907e-02,3.910542119551369211e+00
1.008888888888888821e+38,1.696770873111111250e+14,1.098719666292314331e+12,1.343790037844051514e+12,1.221254852068183105e+12,1.710787981026651875e+14,1.711871892595579688e+14,1.711329936811115625e+14,1.838042660218805469e-02,3.977917506709099271e+00,1.559521131201561939e-02,4.145073283127491237e+00,2.116028854415132054e-02,3.834241659119540735e+00
1.041111111111110972e+38,1.750962894388889062e+14,1.187131733943047852e+12,1.464400387368738525e+12,1.325766060655893311e+12,1.765659601009411250e+14,1.766852114132285938e+14,1.766255857570848750e+14,1.969223371869380235e-02,3.907642239049542443e+00,1.663894438794337460e-02,4.079230357260002826e+00,2.273929275466698985e-02,3.760659074658031731e+00
1.073333333333333313e+38,1.805154915666666875e+14,1.281352308421191162e+12,1.593891759727322021e+12,1.437622034074256592e+12,1.820549011834557500e+14,1.821856756829619062e+14,1.821202884332088125e+14,2.103588139075177055e-02,3.840265373478187083e+00,1.769769499654216816e-02,4.016464702299677114e+00,2.436685330277582606e-02,3.689862903926082183e+00
1.105555555555555465e+38,1.859346936944445000e+14,1.381449708763067383e+12,1.732524185679212891e+12,1.556986947221139893e+12,1.875456951692085312e+14,1.876886685315592188e+14,1.876171818503838750e+14,2.240511084224267035e-02,3.775806265019394647e+00,1.876484091232889784e-02,3.956827189828032054e+00,2.603706652876333627e-02,3.621852088444680984e+00
1.137777777777777805e+38,1.913538958222222500e+14,1.487458290830463867e+12,1.880527852140059570e+12,1.683993071485261475e+12,1.930384166505975312e+14,1.931942765208997188e+14,1.931163465857486250e+14,2.379445547819367124e-02,3.714220572699347134e+00,1.983459110087201771e-02,3.900293903289647091e+00,2.774478178195588507e-02,3.556570561561601895e+00
1.169999999999999957e+38,1.967730979500000312e+14,1.599383350878165039e+12,2.038107599619069336e+12,1.818745475248617188e+12,1.985331412061574688e+14,1.987025865549558438e+14,1.986178638805566562e+14,2.519934903076631594e-02,3.655414827477289741e+00,2.090209311223539812e-02,3.846782341698667729e+00,2.948571034690802839e-02,3.493920375543557277e+00
1.202222222222222297e+38,2.021923000777778125e+14,1.717206471511821533e+12,2.205447876572936523e+12,1.961327174042379150e+12,2.040299457594999375e+14,2.042136862719561875e+14,2.041218160157280625e+14,2.661617826726975222e-02,3.599259240450063402e+00,2.196348489831917439e-02,3.796165708789902116e+00,3.125647906890050010e-02,3.433773207676778405e+00
1.234444444444444260e+38,2.076115022055555938e+14,1.840891014686919434e+12,2.382717857325026855e+12,2.111804436005973145e+12,2.095289090483424062e+14,2.097276645490650000e+14,2.096282867987037188e+14,2.804228425924296109e-02,3.545598778031845644e+00,2.301589514734905806e-02,3.748285311971114364e+00,3.305463258379387481e-02,3.375980271448168146e+00
1.266666666666666789e+38,2.130307043333333750e+14,1.970387493985142334e+12,2.570076454654519531e+12,2.270231974319831055e+12,2.150301121670521875e+14,2.152446120817533125e+14,2.151373621244027500e+14,2.947591747098485260e-02,3.494262643830441828e+00,2.405739753681573889e-02,3.702961236588035554e+00,3.487858926778528157e-02,3.320380754736789619e+00
1.298888888888888752e+38,2.184499064611111562e+14,2.105638588125237305e+12,2.767676987244775879e+12,2.436657787685006348e+12,2.205336391424102500e+14,2.207646219975254688e+14,2.206491305699678750e+14,3.091615287643983967e-02,3.445072343557045613e+00,2.508914604854345365e-02,3.659910710704285197e+00,3.672428684227893592e-02,3.266901374309385986e+00
1.331111111111111092e+38,2.238691085888889688e+14,2.246583594359584961e+12,2.975671298630650391e+12,2.611127446495117676e+12,2.260386408820915000e+14,2.262887270890897188e+14,2.261636839855905938e+14,3.236277199521012116e-02,3.397848502893141998e+00,2.611569273102867794e-02,3.618756127839246606e+00,3.858432965304997575e-02,3.215560628328892445e+00
1.363333333333333244e+38,2.292883107166667188e+14,2.393162159051266602e+12,3.194213159835931152e+12,2.793687659443598633e+12,2.315432632343564688e+14,2.318189728537074062e+14,2.316811180440319062e+14,3.381611904596903972e-02,3.352416585390257886e+00,2.712979441227225674e-02,3.579618128412884737e+00,4.047015401116932365e-02,3.165878656292211435e+00
1.395555555555555396e+38,2.347075128444444375e+14,2.545317161688637207e+12,3.423460829359583984e+12,2.984388995524110840e+12,2.370498413615087812e+14,2.373532240703469062e+14,2.372015327159278125e+14,3.527693851951618775e-02,3.308611626514154302e+00,2.812784556175987327e-02,3.542464236518181320e+00,4.238880094014008115e-02,3.117557650520559775e+00
1.427777777777777736e+38,2.401267149722222500e+14,2.702996668758577148e+12,3.663578681082341309e+12,3.183287674920458984e+12,2.425584163979900625e+14,2.428916488828524375e+14,2.427250326404212500e+14,3.674620136713707685e-02,3.266282070900266898e+00,2.911609016836230746e-02,3.506915955695194320e+00,4.433351608868729699e-02,3.070668024135510432e+00
1.459999999999999888e+38,2.455459171000000625e+14,2.866154912790034180e+12,3.914737850535722168e+12,3.390446381662877930e+12,2.480690318589765312e+14,2.484344228747424375e+14,2.482517273668595000e+14,3.822492664479998359e-02,3.225292779070454419e+00,3.009562110900165788e-02,3.472817805109757572e+00,4.630518393069787964e-02,3.025089802200513489e+00
1.492222222222222228e+38,2.509651192277778125e+14,3.034752286831838379e+12,4.177115884918615723e+12,3.605934085875227051e+12,2.535817337654062500e+14,2.539817291286302188e+14,2.537817314470182188e+14,3.971400496442445416e-02,3.185527256221229564e+00,3.106744001786210241e-02,3.440034685934665326e+00,4.830451971361493513e-02,2.980719977840300849e+00
1.524444444444444380e+38,2.563843213555555938e+14,3.208754378647801758e+12,4.450895416828676758e+12,3.829824897738238770e+12,2.590965706141981875e+14,2.595337581131518125e+14,2.593151643636750000e+14,4.121402945851676547e-02,3.146889150914296884e+00,3.203228905380628433e-02,3.408454303260060492e+00,5.033189967932522046e-02,2.937473490918892871e+00
1.556666666666666720e+38,2.618035234833333438e+14,3.388130098148645508e+12,4.736261908745740234e+12,4.062196003447192871e+12,2.646135931849071250e+14,2.650907073865261562e+14,2.648521502857166562e+14,4.272513927344623319e-02,3.109303072245350297e+00,3.299049522740937768e-02,3.377988827971067920e+00,5.238720381836975415e-02,2.895283616407801741e+00
1.588888888888888683e+38,2.672227256111111562e+14,3.572848976403293945e+12,5.033400544511881836e+12,4.303124760457587891e+12,2.701328541788984688e+14,2.706527811141372500e+14,2.703928176465178438e+14,4.424687973488666826e-02,3.072714782798743105e+00,3.394183137389938931e-02,3.348575830858055546e+00,5.446967536087615747e-02,2.854101828763842441e+00
1.621111111111111213e+38,2.726419277388889688e+14,3.762877735164729004e+12,5.342492361084952148e+12,4.552685048124840820e+12,2.756544076922433125e+14,2.762201893989745312e+14,2.759372985456089062e+14,4.577808249568726673e-02,3.037090833875639273e+00,3.488539705313403738e-02,3.320178534719123942e+00,5.657780034651843648e-02,2.813897213867294855e+00
1.653333333333333175e+38,2.780611298666666875e+14,3.958176242025250977e+12,5.663709734009416016e+12,4.810942988017333984e+12,2.811783085287560938e+14,2.817931474311448125e+14,2.814857279799504375e+14,4.731676816258328921e-02,3.002417718599560637e+00,3.581952180966380128e-02,3.292785448397711257e+00,5.870920983248850700e-02,2.774655503180162075e+00
1.685555555555555516e+38,2.834803319944445000e+14,4.158692977701872559e+12,5.997211339013667969e+12,5.077952158357770508e+12,2.867046113621560625e+14,2.873718744657775000e+14,2.870382429139667500e+14,4.886007296088412666e-02,2.968700629368602240e+00,3.674169229781543144e-02,3.266409467947394951e+00,6.086060635470380564e-02,2.736377809700932140e+00
1.717777777777777856e+38,2.888995341222223125e+14,4.364360148157515137e+12,6.343136722262729492e+12,5.353748435210122070e+12,2.922333697620817500e+14,2.929565926423973750e+14,2.925949812022395625e+14,5.040420020650443478e-02,2.935961911117704215e+00,3.764850396168817337e-02,3.241086546384611911e+00,6.302771549055963263e-02,2.699079144762599913e+00
1.749999999999999630e+38,2.943187362500000000e+14,4.575088576827569336e+12,6.701600612812088867e+12,5.638344594819829102e+12,2.977646350991055625e+14,2.985475256616428750e+14,2.981560803803742500e+14,5.194439659613397930e-02,2.904239303666432015e+00,3.853563732999781832e-02,3.216874041952505703e+00,6.520526248656655088e-02,2.662786794457161044e+00
1.782222222222222159e+38,2.997379383777778125e+14,4.790762511745702148e+12,7.072687111638750977e+12,5.931724811692226562e+12,3.032984553497805000e+14,3.041448973379163750e+14,3.037216763438484375e+14,5.347495267841495536e-02,2.873584063357574880e+00,3.939785819001873080e-02,3.193848864719894376e+00,6.738697340984356465e-02,2.627538625924764393e+00
1.814444444444444311e+38,3.051571405055555625e+14,5.011234476330342773e+12,7.456443887638494141e+12,6.233839181984417969e+12,3.088348738218104375e+14,3.097489300496256875e+14,3.092919019357180625e+14,5.498922612114642838e-02,2.844059051021412543e+00,4.022904023631251880e-02,3.172105543654609949e+00,6.956559945362761344e-02,2.593381390023440147e+00
1.846666666666666463e+38,3.105763426333333750e+14,5.236320284804493164e+12,7.852876502953422852e+12,6.544598393878957031e+12,3.143739278212550625e+14,3.153598431088993125e+14,3.148668854650771875e+14,5.647968599386810062e-02,2.815736861484095410e+00,4.102220847293230888e-02,3.151754326540904927e+00,7.173296255931571608e-02,2.560369076431840973e+00
1.878888888888888614e+38,3.159955447611111250e+14,5.465794334019773438e+12,8.261942981145111328e+12,6.863868657582444336e+12,3.199156472868151875e+14,3.209778510741743125e+14,3.204467491804946875e+14,5.793797584435922410e-02,2.788698059105780835e+00,4.176960106384047799e-02,3.132919421307162722e+00,7.388002021156225840e-02,2.528561365155231666e+00
