baryon_number_density,baryon_density,minimum_pressurec2,maximum_pressurec2,pressurec2,minimum_energy_densityc2,maximum_energy_densityc2,energy_densityc2
1.202222222222222297e+38,2.021923000777778125e+14,1.433368772310096680e+12,2.508620959876967285e+12,1.970994866093532227e+12,2.039545001263215625e+14,2.043581816487552188e+14,2.041563408875383750e+14
1.234444444444444260e+38,2.076115022055555938e+14,1.522111697083876221e+12,2.705664586336725586e+12,2.113888141710300781e+12,2.094466005297287188e+14,2.098797149894492500e+14,2.096631577595890000e+14
1.266666666666666789e+38,2.130307043333333750e+14,1.615028953616746582e+12,2.914630914564566406e+12,2.264829934090656738e+12,2.149408903384091250e+14,2.154046273323905938e+14,2.151727588353998438e+14
1.298888888888888752e+38,2.184499064611111562e+14,1.712222002511789551e+12,3.135943743030145996e+12,2.424082872770967773e+12,2.204375187046889062e+14,2.209330735957216875e+14,2.206852961502053125e+14
1.331111111111111092e+38,2.238691085888889688e+14,1.813787319671647217e+12,3.370021131329946289e+12,2.591904225500796875e+12,2.259340236826490312e+14,2.264678313561018438e+14,2.262009275193754688e+14
1.363333333333333244e+38,2.292883107166667188e+14,1.919816262394390869e+12,3.617274655253767578e+12,2.768545458824079102e+12,2.314276964646608438e+14,2.320119359286911250e+14,2.317198161966759688e+14
1.395555555555555396e+38,2.347075128444444375e+14,2.030394945902184570e+12,3.878108683939422852e+12,2.954251814920803711e+12,2.369229547285570625e+14,2.375613063100127500e+14,2.372421305192849062e+14
1.427777777777777736e+38,2.401267149722222500e+14,2.145604127819894775e+12,4.152919667092258789e+12,3.149261897456076660e+12,2.424198677805248125e+14,2.431162193012411875e+14,2.427680435408830312e+14
1.459999999999999888e+38,2.455459171000000625e+14,2.265519096643415527e+12,4.442095421624208008e+12,3.353807259133811523e+12,2.479185058869169062e+14,2.486769594203937188e+14,2.482977326536552812e+14
1.492222222222222228e+38,2.509651192277778125e+14,2.390209560864089355e+12,4.746014408418896484e+12,3.568111984641492676e+12,2.534189400168949062e+14,2.542438183807195000e+14,2.538313791988072188e+14
